requerimento,razao_social,cnpj,fase,data_cadastro,data_protocolo,data_equipe,processo,status,tipo_licenca,codigo_consema,descricao_consema,porte,potencial_poluidor,inscr_imob,x,y,endereco,cep,regional,data_licenca
31779,Lima Ltda.,53268149000112,FCEI cancelado,2021-09-28T15:09:08Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,201048020282,732262.3760972366,7021406.6476661675,"Rua João Bauer, 245 - CENTRO",88301500,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
31675,Jesus Farias S.A. e Filhos,05391678000166,FCEI cancelado,2021-09-27T10:24:31Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Licença Ambiental Prévia com dispensa de Licença Ambiental de Instalação,71.11.07,"CONDOMÍNIOS DE EDIFÍCIOS DE USO MISTO (COMERCIAL, RESIDENCIAL, SERVIÇOS) LOCALIZADOS EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES",G,M,NA,734859.76,7014418.04,"AV MARCOS KONDER, S/N - ",88303171,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
31627,Correia Almeida e Filhos - EI,19025684000104,Relatório de Monitoramento recebido,2021-09-24T11:37:37Z,02/12/2021 às 14:33,02/12/2021 às 17:36,URB/18776,FCEI Cadastrado,Licença Ambiental Prévia com dispensa de Licença Ambiental de Instalação,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",P,M,NA,734835.24,7019630.1,"R. Juvencio Tavares D'Amaral, 112 - Cabeçudas",88306400,ITAJAI (INIS),2022-03-24
31623,Moraes Moraes Ltda. - ME,62397418000131,Relatório de Monitoramento enviado,2021-09-24T10:56:52Z,21/10/2021 às 12:12,21/10/2021 às 16:51,IND/17519,FCEI Cadastrado,Licença Ambiental de Operação de Correção,11.60.02,"SERRALHERIA, FABRICAÇÃO DE TANQUES, RESERVATÓRIOS E OUTROS RECIPIENTES METÁLICOS E DE ARTIGOS DE CALDEIREIRO SEM TRATAMENTO QUÍMICO SUPERFICIAL E/OU GALVANOTÉCNICO E/OU PINTURA POR ASPERSÃO E/OU ESMALTAÇÃO",M,M,212.028.02.1057.0000.000,730546,7023700,"R: BLUMENAU , 2025 - BARRA DO RIO",88305102,ITAJAI (INIS),2022-05-05
31586,Viana - ME,80413672000168,Documento Assinado Digitalmente,2021-09-23T17:19:47Z,28/09/2021 às 16:22,28/09/2021 às 18:31,CRT/16933,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,2150320208600000000,725227.726,7025624.023,"Rua Bertolino Serpa, 501, 501 - Salseiros",88311547,ITAJAI (INIS),2021-09-28
31562,Farias Gomes Ltda. Ltda.,98065347000117,FCEI cancelado,2021-09-23T15:20:01Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,2030810308550000000,726231.856,7027632.925,"R CESAR AUGUSTO DALSOQUIO, 4751 - SALSEIROS",88311500,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
31546,Nunes - EI,98423076000124,Solicitado documentação complementar,2021-09-23T13:22:48Z,19/10/2021 às 14:12,21/10/2021 às 16:42,IND/17455,FCEI Cadastrado,Licença Ambiental de Operação de Correção,15.11.00,DESDOBRAMENTO SECUNDÁRIO DE MADEIRAS ,M,P,NA,718555.85,7013622.48,"Rodovia Antônio Heil, 11411 - Arraial dos Cunhas",88318112,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
31535,Cardoso Azevedo - EI S.A.,53706829000170,Documento Assinado Digitalmente,2021-09-23T10:51:41Z,21/10/2021 às 17:45,22/10/2021 às 14:21,CRT/17559,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,201.036.03.0493.0006.000,732328.612,7021614.177,"Rua Gil Stein Ferreira, 357 - CENTRO",88301210,ITAJAI (INIS),2021-10-22
31528,Barbosa S.A. Ltda.,31789245000173,Licença concedida,2021-09-23T10:07:04Z,10/11/2021 às 13:23,10/11/2021 às 18:29,URB/18132,FCEI Cadastrado,Licença Ambiental de Instalação,71.11.07,"CONDOMÍNIOS DE EDIFÍCIOS DE USO MISTO (COMERCIAL, RESIDENCIAL, SERVIÇOS) LOCALIZADOS EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES",G,M,NA,733030,7020275,"Rua 7 de Setembro, 1657 - Fazenda",88301201,ITAJAI (INIS),2022-04-06
31518,Mendes - ME,51294670000107,Cadastrado(Aguardando Documento Digital),2021-09-22T21:29:06Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental de Instalação,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",P,M,NA,727889,7020403,"Rua Valério Zaguini, 45 - Cidade Nova",88308606,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
31517,Nogueira e Filhos,64071823000190,FCEI cancelado,2021-09-22T21:27:07Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Licença Ambiental Prévia com dispensa de Licença Ambiental de Instalação,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",P,M,NA,727889,7020403,"Rua Valério Zaguini, 45 - Cidade Nova",88308606,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
31516,Cunha Duarte S.A. Ltda.,61530879000178,FCEI cancelado,2021-09-22T21:26:37Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Licença Ambiental Prévia com dispensa de Licença Ambiental de Instalação,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",P,M,NA,727889,7020403,"Rua Valério Zaguini, 45 - Cidade Nova",88308606,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
31515,Gomes - EI,86341975000107,FCEI cancelado,2021-09-22T21:26:08Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Licença Ambiental Prévia com dispensa de Licença Ambiental de Instalação,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",P,M,NA,727889,7020403,"Rua Valério Zaguini, 45 - Cidade Nova",88308606,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
31496,Barros S.A.,19876350000144,Licença concedida,2021-09-22T17:06:42Z,30/09/2021 às 15:41,Sem Equipe Formada,URB/17003,FCEI Cadastrado,Certidão de Conformidade Ambiental,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",-,M,005.264.06.1910.0000.000,729852.047491211,7022680.612425983,"Rua João Camilo Vicente, 285 - São Vicente",88309115,ITAJAI (INIS),2021-09-30
31491,Barros S/A,85471029000104,Documento Assinado Digitalmente,2021-09-22T16:03:25Z,22/09/2021 às 17:27,22/09/2021 às 17:34,CRT/16739,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,728961.1864,7019139.5193,"Valério Cadore, 97 - Cidade Nova ",88308685,ITAJAI (INIS),2021-09-22
31366,Campos Martins - ME Ltda.,52140378000194,Documento Assinado Digitalmente,2021-09-21T10:24:00Z,24/09/2021 às 19:01,27/09/2021 às 14:11,CRT/16824,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,215.081.02.0350,722827.38,7024071.81,"RUA BRUNO VICENTE DA LUZ, 204 - SANTA REGINA",83317020,ITAJAI (INIS),2021-09-27
31335,da Mata S/A Ltda.,10924385000137,Licença concedida,2021-09-20T17:25:48Z,21/10/2021 às 12:07,Sem Equipe Formada,URB/17518,FCEI Cadastrado,Certidão de Conformidade Ambiental,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",-,M,005.425.03.0330.0000.000,2264275.6609822977,4318514.708506566,"Rua Florisa Pereira Garcia Kumm, 277 - São Vicente",88312170,ITAJAI (INIS),2021-10-21
31326,da Conceição e Filhos,34702158000125,Licença concedida,2021-09-20T16:13:36Z,24/09/2021 às 15:21,Sem Equipe Formada,IND/16815,FCEI Cadastrado,Certidão de Conformidade Ambiental,15.11.00,DESDOBRAMENTO SECUNDÁRIO DE MADEIRAS ,-,P,NA,728943.2019729095,7022098.397196082,"RUA PEDRO CRISTIANO DE MIRANDA, 736 - SÃO VICENTE",88309431,ITAJAI (INIS),2021-09-24
31315,Cavalcanti Ferreira S.A. - ME,97546023000138,Documento Assinado Digitalmente,2021-09-20T15:11:29Z,05/10/2021 às 13:46,05/10/2021 às 16:05,CRT/17103,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,726936.11,7024834.78,"Avenida Castelo Branco, 1135 - Salseiros",88311470,ITAJAI (INIS),2021-10-05
31309,Costela Moraes S/A - ME,69807431000160,Relatório de Monitoramento enviado,2021-09-20T14:53:56Z,28/10/2021 às 14:19,28/10/2021 às 17:59,AGR/17789,FCEI Cadastrado,Renovação LAO,43.20.00,COMÉRCIO ATACADISTA E DEPÓSITOS DE PRODUTOS QUÍMICOS,G,M,2030610317200000000/ 2030610317250000000,726190.9783363153,7024757.653630645,"OTILIO DALÇOQUIO, 257 - SALSEIROS",88311560,ITAJAI (INIS),2023-02-23
31303,Fernandes - EI,53204896000197,Licença concedida,2021-09-20T14:35:25Z,09/11/2021 às 18:48,10/11/2021 às 18:26,IND/18098,FCEI Cadastrado,Licença Ambiental de Operação de Correção,20.85.00,FABRICAÇÃO DE PRODUTOS DE PERFUMARIA E COSMÉTICO,P,P,NA,729772,7019148,"Avenida Vereador Abrahão Joao Francisco, 3933 - Carvalho",88307303,ITAJAI (INIS),2022-04-29
31297,Cavalcanti S/A,21769504000140,Documento Assinado Digitalmente,2021-09-20T13:38:42Z,24/09/2021 às 15:19,24/09/2021 às 16:30,CRT/16814,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,005.437.02.0080.0000.000,727941.54,7023515.5,"Avenida Nilo Bittencourt, 1086 - São Vicente",88312400,ITAJAI (INIS),2021-09-24
31294,Souza e Filhos - ME,27319860000149,Documento Assinado Digitalmente,2021-09-20T11:19:26Z,21/09/2021 às 16:24,21/09/2021 às 17:29,URB/6667,FCEI Cadastrado,Licença Ambiental de Instalação,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",P,M,NA,727870.32,7023603.24,"Rua Enedina D'avila Ferreira, s/n - Cordeiros",88310691,ITAJAI (INIS),2022-01-14
31237,Cardoso S/A,54160328000102,Documento Assinado Digitalmente,2021-09-17T14:37:17Z,27/09/2021 às 15:49,27/09/2021 às 16:00,CRT/16872,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,732685.9856013384,7021511.989020441,"RUA CAMBORIU, 134 - CENTRO",88301450,ITAJAI (INIS),2021-09-27
31227,Silva S.A.,27569041000150,Licença concedida,2021-09-17T14:08:07Z,08/02/2022 às 13:21,08/02/2022 às 18:30,IND/20455,FCEI Cadastrado,Renovação LAO,30.70.00,"FABRICAÇÃO DE ARTIGOS DIVERSOS DE RESINAS, FIBRAS, FIOS ARTIFICIAIS E SINTÉTICOS E BORRACHA LÁTEX SINTÉTICO",G,M,NA,725626.07,7025499.6,"Rodovia BR-101, 3500 - Salseiros",88311600,ITAJAI (INIS),2022-07-01
31226,Cavalcanti Monteiro - ME - EI,94523806000108,Cadastrado(Aguardando Documento Digital),2021-09-17T14:05:15Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Renovação LAI,71.11.06,"Condomínios comerciais horizontais ou verticais localizados em municípios da Zona Costeira, assim definidos pela legislação específica, ou em municípios onde se observe pelo menos uma das seguintes condições: a) não possua Plano Diretor; b) não exista sistema de coleta e tratamento de esgoto na área objeto da atividade.",P,P,758541,723646.547,7018159.807,"Rua Maria de Souza Gonçalves, 370 - Itaipava",88316605,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
31225,Caldeira Ltda.,50236189000194,Documento Assinado Digitalmente,2021-09-17T13:58:13Z,24/09/2021 às 15:10,24/09/2021 às 16:25,URB/16813,FCEI Cadastrado,Licença Ambiental de Operação,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",G,M,214.069.01.2200.0000.000,734040,7017070,"RUA BRAULIO WERNER, 193 - PRAIA BRAVA DE ITAJAÍ",88306730,ITAJAI (INIS),2021-11-05
31221,Castro Ferreira S.A. e Filhos,13974086000103,Documento Assinado Digitalmente,2021-09-17T11:41:01Z,24/09/2021 às 14:08,24/09/2021 às 16:29,URB/16808,FCEI Cadastrado,Licença Ambiental de Instalação,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",P,M,NA,733345,7020236,"Rua Jorge Tzachel, 442 - Fazenda",88301600,ITAJAI (INIS),2021-11-12
31205,Rezende - EI,03941725000172,Cadastrado(Aguardando Documento Digital),2021-09-16T21:22:19Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental de Instalação,71.11.07,"CONDOMÍNIOS DE EDIFÍCIOS DE USO MISTO (COMERCIAL, RESIDENCIAL, SERVIÇOS) LOCALIZADOS EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES",M,M,NA,733345,7020236,"Rua Jorge Tzachel, 442 - Fazenda",88301600,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
31198,Rocha - EI - ME,23540179000175,Documento Assinado Digitalmente,2021-09-16T17:07:44Z,20/09/2021 às 16:28,21/09/2021 às 13:31,CRT/16676,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,726953.19,7014412.38,"Rua Benjamin Dagnoni, 3875 - Rio do Meio",88316100,ITAJAI (INIS),2021-09-21
31195,Costela - ME,71346925000137,FCEI cancelado,2021-09-16T16:37:02Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,0051260102500000000,729179.5632,7021088.3642,"AV GOVERNADOR ADOLFO KONDER, 705 - CIDADE NOVA",88308001,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
31189,Fernandes S/A,61475320000192,FCEI cancelado,2021-09-16T15:48:03Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Ampliação LAI,71.11.06,"Condomínios comerciais horizontais ou verticais localizados em municípios da Zona Costeira, assim definidos pela legislação específica, ou em municípios onde se observe pelo menos uma das seguintes condições: a) não possua Plano Diretor; b) não exista sistema de coleta e tratamento de esgoto na área objeto da atividade.",P,P,758541,723646.547,7018159.807,"Rua Maria de Souza Gonçalves, 370 - Itaipava",88316605,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
31177,Freitas - ME,59312870000149,Documento Assinado Digitalmente,2021-09-16T14:38:32Z,20/09/2021 às 14:55,21/09/2021 às 13:30,CRT/16670,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,003.101.01.0255.0000.000,728487.93,7023202.186,"Rua Nossa Senhora de Fátima, 843 - Cordeiros",88310400,ITAJAI (INIS),2021-09-21
31127,Nunes Jesus - ME - ME,92018467000187,Licença concedida,2021-09-16T06:04:32Z,17/09/2021 às 16:04,Sem Equipe Formada,URB/16635,FCEI Cadastrado,Certidão de Conformidade Ambiental,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",-,M,215179020330,723490,7025650,"RUA JOAO ARDIGO , 978 - SANTA REGINA",88317515,ITAJAI (INIS),2021-09-17
31126,Dias Moura e Filhos - EI,92831640000161,Licença concedida,2021-09-16T05:57:17Z,17/09/2021 às 16:09,Sem Equipe Formada,URB/16637,FCEI Cadastrado,Certidão de Conformidade Ambiental,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",-,M,215179020320,723480,7025600,"RUA JOAO ARDIGO, 968 - SANTA REGINA",88317515,ITAJAI (INIS),2021-09-17
31125,Cardoso Ltda. - EI,59218307000106,Licença concedida,2021-09-16T05:48:58Z,17/09/2021 às 16:07,Sem Equipe Formada,URB/16636,FCEI Cadastrado,Certidão de Conformidade Ambiental,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",-,M,21517902310,723477,7025500,"RUA JOAO ARDIGO, 958 - SANTA REGINA",88317515,ITAJAI (INIS),2021-09-17
31124,Rocha - EI,72893546000120,Licença concedida,2021-09-16T05:39:40Z,17/09/2021 às 15:51,Sem Equipe Formada,URB/16632,FCEI Cadastrado,Certidão de Conformidade Ambiental,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",-,M,215179020300,723470,7025498,"RUA JOÃO ARDIGO, 948 - SANTA REGINA",88317515,ITAJAI (INIS),2021-09-17
31111,Melo Pinto S/A e Filhos,17694835000191,Licença concedida,2021-09-15T17:47:32Z,16/09/2021 às 14:34,Sem Equipe Formada,URB/16569,FCEI Cadastrado,Certidão de Conformidade Ambiental,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",-,M,215.179.01.0140,723465,7025577,"RUA DOMINGOS NUNES DOS SANTOS, 985 - SANTA REGINA",88317505,ITAJAI (INIS),2021-09-16
31110,Azevedo e Filhos,62751349000112,Licença concedida,2021-09-15T17:40:27Z,17/09/2021 às 15:48,Sem Equipe Formada,URB/16631,FCEI Cadastrado,Certidão de Conformidade Ambiental,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",-,M,005.421.01.0030.0000.000,727962.1034625454,7021417.782873909,"RUA HYGINA DE ANDRADE CORREA, 26, 26 - São Vicente",88312220,ITAJAI (INIS),2021-09-17
31099,Rezende - ME,51740268000109,Documento Assinado Digitalmente,2021-09-15T16:13:37Z,20/09/2021 às 19:09,21/09/2021 às 13:32,CRT/16679,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,730163.624,7022340.089,"R JOSE PEREIRA LIBERATO, 525 - SAO JOAO",88304401,ITAJAI (INIS),2021-09-21
31089,Nascimento Araújo Ltda. e Filhos,39041568000196,Licença concedida,2021-09-15T15:04:42Z,22/10/2021 às 14:29,22/10/2021 às 14:40,URB/17595,FCEI Cadastrado,Autorização Ambiental,71.00.00,"SERVIÇOS DE REPARAÇÃO E MANUTENÇÃO DE MÁQUINAS, EQUIPAMENTOS OU VEÍCULOS, COM PINTURA, EXCETO MANUTENÇÃO DE ELETRODOMÉSTICOS",U,M,NA,728028.01,7020676.55,"AV GOVERNADOR ADOLFO KONDER, 2097 - Cidade Nova",88308005,ITAJAI (INIS),2022-08-17
31088,Araújo S/A - ME,20897635000140,Documento Assinado Digitalmente,2021-09-15T15:01:41Z,08/10/2021 às 15:39,13/10/2021 às 14:02,CRT/17250,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,005.137.02.0015.0000.000,729409.21,7020496,"Rua Maria Serafim dos Santos, 31 - Cidade Nova",88308115,ITAJAI (INIS),2021-10-13
31087,da Mata S.A.,56297108000142,Cadastrado(Aguardando Documento Digital),2021-09-15T15:00:07Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,0,734972.1208633421,7016780.18668837,"Rua Delfim Mário Pádua Peixoto, 1128 - PRAIA BRAVA",88306806,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
31085,Ribeiro - EI,73561092000152,Documento Assinado Digitalmente,2021-09-15T14:51:56Z,17/09/2021 às 15:47,17/09/2021 às 15:52,URB/16630,FCEI Cadastrado,Licença Ambiental Prévia,71.21.11,CONDOMÍNIO COM FINS INDUSTRIAIS OU DE SERVIÇOS (MULTISSETORIAL),M,G,216.189.03.1900,717337.85,7011239.59,"Rua José Lana esquina com Rua Serafim Gamba, 850 - Brilhante",88318994,ITAJAI (INIS),2021-09-24
31082,Porto - ME e Filhos,21358790000151,Licença concedida,2021-09-15T14:23:14Z,05/10/2021 às 13:43,Sem Equipe Formada,URB/17102,FCEI Cadastrado,Certidão de Conformidade Ambiental,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",-,M,005.448.03.0500.0000.000,728322.2493234957,7019270.444688421,"Ema Fornari Conte, 453 - cidade nova",88308660,ITAJAI (INIS),2021-10-05
31070,da Paz - ME,31659084000101,Licença concedida,2021-09-15T12:29:41Z,30/09/2021 às 15:40,30/09/2021 às 15:51,CRT/17002,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,718732.6800240286,7014030.810008656,"Rodovia Antônio Heil - KM 11+104, s/n - Itaipava",88316001,ITAJAI (INIS),2022-06-09
